id,group,consumer,media,target_quantity,required_metadata,label_trust,independence,geo_language,rights_minimum,storage_class,candidate_sources,state,blocked_reason,resources_note,why
REQ-CAP-01,A_constraint_fidelity,Eval capability object_count,generated image + video (Eval output); synthetic fixtures for instrument,constructed_by_eval,prompt-declared target count; deterministic ground truth for fixtures,deterministically_validated,item-level only; no external lineage risk,n/a,none_external,none,PACK-CV-FIXTURES,constructed_by_eval,,,Counting objects has a generated right answer. Downloading a dataset to test counting would import someone else's labels for no gain.
REQ-CAP-02,A_constraint_fidelity,Eval capability attribute_binding,generated image/video; synthetic fixtures for instrument,constructed_by_eval,prompt-declared attribute-to-object bindings,deterministically_validated,item_level,n/a,none_external,none,PACK-CV-FIXTURES,constructed_by_eval,,,"Same as object_count: the binding is declared by the prompt, so truth is known by construction."
REQ-CAP-03,A_constraint_fidelity,Eval capability spatial_relationship,generated image/video; synthetic fixtures for instrument,constructed_by_eval,declared relative positions; fixture bounding boxes,deterministically_validated,item_level,n/a,none_external,none,PACK-CV-FIXTURES,constructed_by_eval,,,Position truth can be rendered exactly. No acquisition justified.
REQ-CAP-04,A_constraint_fidelity,Eval capability action_adherence,generated video (Eval output),constructed_by_eval,prompt-declared action; observation unit = whole clip,requires human or qualified VLM adjudication; NOT deterministic,item_level,n/a,none_external,none,,constructed_by_eval,,"Flagged for Eval: unlike 01-03 this has no deterministic checker, so its instrument qualification depends on REQ-INS-03/04, which are themselves blocked on missing packs.",The stimulus is Eval's own generation. Resources supplies no media.
REQ-CAP-05,A_constraint_fidelity,Eval capability delivery_format_compliance,generated asset container metadata only,no_external_resource,requested duration/aspect/resolution/output contract vs delivered,deterministically_validated,n/a,n/a,none_external,none,,no_external_resource,,,This is a file-property check against the request. It needs no reference media at all.
REQ-CAP-06,B_text_brand,Eval capability exact_text_latin,generated image/video; deterministic rendered calibration pack for instrument,constructed_by_eval,exact target string; rendered ground truth,deterministically_validated,string-level; base strings must not be reused between calibration and qualification,Latin_script,none_external,none,PACK-LATIN-TEXT,constructed_by_eval,,"The corpus holds only 14 English-labelled BSTD images. That is nowhere near a real-world Latin scene-text pool, and it is not needed: the Devanagari battery proved rendered strings are the better instrument.",Copying the proven EVAL-005 method to Latin is cheaper and more auditable than acquiring real Latin scene text.
REQ-CAP-07,B_text_brand,Eval capability exact_text_devanagari,real photographed Devanagari (reading) + Eval-generated Devanagari (rendering),"reading: existing 29,722-item pool; rendering: 96-item frozen battery","human transcription per item; script-level filter, not language label","source transcriptions are OBSERVATIONS of one annotator group, not project ground truth, until Eval validates them",source lineage: CVIT pair = one lineage; BSTD = independent,Devanagari_India,internal research/evaluation only; CVIT sources rights not_stated,A,PACK-DEVA-READ; PACK-DEVA-GEN,available,,"TWO DIFFERENT ABILITIES, one capability id. Reading real signage is covered. Judging a generator's own Devanagari rendering is covered by the 96-item battery. What is NOT covered is real generated-Devanagari failure material at scale, which only paid generation produces.","The single best-covered capability in the project, and the only one where existing material is genuinely sufficient."
REQ-CAP-08,B_text_brand,Eval capability typography_legibility,generated image/video,constructed_by_eval,type size/contrast/placement conditions declared by the item,human or qualified VLM adjudication,item_level,Latin + Devanagari,none_external,none,,constructed_by_eval,,Canon holds no accepted Devanagari-structure source (CANON-008 stopped). Resources cannot supply typographic judgement criteria and must not invent them.,Legibility is judged on Eval's own outputs against declared conditions.
REQ-CAP-09,B_text_brand,Eval capability logo_wordmark_fidelity,reference logo/wordmark assets + generated output,>=12 distinct marks with clear ownership (aligned to the 12 products),vector or high-resolution original; ownership/permission record; colour spec,deterministically_validated,brand-level: a mark used in calibration must not appear in qualification,target >=50% Indian-market brands,first-party or explicitly permissioned; third-party trademarks are NOT usable by default,B,PACK-PRODUCT-REF; LEGACY-MF-REFS,partial,,"PARTIAL, and this is a real find. Three first-party logo assets are recoverable from chawlavaibhav/media-factory git history (spike/refs/logo_0.png, logo_1.png, aight_logo.png). That is 3 of >=12 marks, from a project-owned source. See LEGACY-EVIDENCE-RECONCILIATION.md.",Brand fidelity is the capability most exposed to trademark risk. Using project-owned marks removes that risk entirely for the part it covers.
REQ-CAP-10,B_text_brand,Eval capability packaging_brand_colour_fidelity,controlled product photographs + generated output,covered by PACK-PRODUCT-REF (>=48 images / 12 products),measured or specified brand colour values; lighting conditions recorded,deterministically_validated,product_level,target >=50% Indian-market,first-party or permissioned; controlled capture strongly preferred,B,PACK-PRODUCT-REF,missing,,,Colour fidelity needs a known reference value. A web image with unknown colour management cannot serve as one.
