clip_id,work,creator_publisher,source_url,direct_media_url,source_identifier,licence,licence_verified_at_source,licence_authority_url,attribution_required,rights_restrictions,commercial_empirical_use_permitted,retrieval_date_utc,retrieval_authority,retrieved_file_name,retrieved_file_bytes,retrieved_file_sha256,source_media_sha256,clip_relative_path,clip_sha256,clip_bytes,duration_s,width,height,fps,frame_count,audio_present,audio_codec,tag_person,tag_product_object,tag_on_screen_text,tag_multi_shot,tag_motion,shot_count_measured,cut_timestamps_s,mean_abs_frame_diff,text_frames_with_confident_tokens,pre_existing_freeze_count,black_interval_count,interlaced_fraction,clean_screen_verdict,audio_perturbation_permitted,transformations_from_original,source_lineage_key,content_lineage_key,selection_reason
MAVM-01,Big Buck Bunny,Blender Foundation (Peach open movie project),https://download.blender.org/demo/movies/BBB/bbb_sunflower_1080p_30fps_normal.mp4.zip,https://download.blender.org/demo/movies/BBB/bbb_sunflower_1080p_30fps_normal.mp4.zip,https://download.blender.org/demo/movies/BBB/bbb_sunflower_1080p_30fps_normal.mp4.zip,CC BY 3.0,CC BY 3.0,https://peach.blender.org/about/,"(c) copyright 2008, Blender Foundation / www.bigbuckbunny.org",,"yes - attribution only, no non-commercial clause",2026-08-27T19:34:33Z,download.blender.org (Blender Foundation's own server),MAVM-01__bbb_sunflower_1080p_30fps_normal.mp4.zip,275524128,e320fef389ec749117d0c1583945039266a40f25483881c2ff0d33207e62b362,ae51005850b0ff757fe60c3dd7a12d754d3cd2397d87d939b55235e457f97658,resources/corpus/raw/mat-av-min/clips/MAVM-01.mp4,86a142301085c393a40ce03a35fcd1d8ebdac4f4ba6c532a31b1c74389631825,11118049,10.0,1920,1080,30.0,300,True,aac,rendered,no,no,no,yes,1,,1.1564,0,0,0,,PASS,yes,"extracted member 'bbb_sunflower_1080p_30fps_normal.mp4' from publisher-supplied zip archive | cut 10.0s from 00:02:16; re-encoded H.264 CRF 12 preset slow yuv420p CFR 30.0fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_blender_open_movies,content::ae51005850b0ff75,"sustained character + prop action, no title card, no cross-fade"
MAVM-02,Sintel,Blender Foundation (Durian open movie project),https://download.blender.org/durian/movies/Sintel.2010.720p.mkv.zip,https://download.blender.org/durian/movies/Sintel.2010.720p.mkv.zip,https://download.blender.org/durian/movies/Sintel.2010.720p.mkv.zip,CC BY 3.0,CC BY 3.0,https://durian.blender.org/about/,(c) copyright Blender Foundation | durian.blender.org,,"yes - attribution only, no non-commercial clause",2026-08-27T19:35:04Z,download.blender.org (Blender Foundation's own server),MAVM-02__Sintel.2010.720p.mkv.zip,681285470,d252f898641b20f51c64206f31063e659c28b152a9d988936736d1b56e6e4db3,f12c070e295b38cfc94ebd61ac3357c3bac82d1015985f1e8da93a4c6496c46d,resources/corpus/raw/mat-av-min/clips/MAVM-02.mp4,bc678a70d99910c9e038af833fd076b6fdc06de9daab206ea88072f2f66cf5f2,9913456,10.0,1280,544,24.0,240,True,aac,rendered,no,no,yes,yes,4,3.458;7.5;9.333,11.613,1,0,0,,PASS,yes,"extracted member 'Sintel.2010.720p.mkv' from publisher-supplied zip archive | cut 10.0s from 00:04:40; re-encoded H.264 CRF 12 preset slow yuv420p CFR 24.0fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_blender_open_movies,content::f12c070e295b38cf,multi-shot dialogue/action sequence away from title and credit cards
MAVM-03,Tears of Steel,Blender Foundation (Mango open movie project),https://download.blender.org/demo/movies/ToS/tears_of_steel_720p.mov,https://download.blender.org/demo/movies/ToS/tears_of_steel_720p.mov,https://download.blender.org/demo/movies/ToS/tears_of_steel_720p.mov,CC BY 3.0,CC BY 3.0,https://mango.blender.org/about/,(CC) Blender Foundation | mango.blender.org,"FILM is CC BY 3.0. The ORIGINAL SOUNDTRACK files are separately licensed CC BY-ND 3.0 (download.blender.org/demo/movies/ToS/copyright.txt, read 2026-08-28). A time-shift audio perturbation would create a derivative of an ND-licensed work, so this clip is marked audio_perturbation_prohibited and is a VISUAL perturbation base only.
","yes - attribution only, no non-commercial clause",2026-08-27T19:35:23Z,download.blender.org (Blender Foundation's own server),MAVM-03__tears_of_steel_720p.mov,372178639,efa9062d9cdb7a338e40ad530dfdf234806743f29ae6a1a136b97ece4e588e8f,efa9062d9cdb7a338e40ad530dfdf234806743f29ae6a1a136b97ece4e588e8f,resources/corpus/raw/mat-av-min/clips/MAVM-03.mp4,da718a48d5c31bbee1410d0754a16cb95354296f1b2285b8b95a646c0a254227,6716982,10.0,1280,534,24.0,240,True,aac,real,yes,no,yes,yes,4,2.417;5.417;8.208,2.2986,1,0,0,,PASS,no - original soundtrack is CC BY-ND 3.0,"cut 10.0s from 00:01:30; re-encoded H.264 CRF 12 preset slow yuv420p CFR 24.0fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_blender_open_movies,content::efa9062d9cdb7a33,live-action photographed humans; only work in the set with real actors under an explicit CC BY film licence
MAVM-04,Mars Helicopter Testing Media Reel,NASA / Jet Propulsion Laboratory,https://images-assets.nasa.gov/video/JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel/JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel~orig.mp4,https://images-assets.nasa.gov/video/JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel/JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel~orig.mp4,JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel,Public domain (US Government work),Public domain (US Government work),https://www.nasa.gov/nasa-brand-center/images-and-media/,,,yes - not subject to copyright in the US,2026-08-27T19:35:38Z,images-assets.nasa.gov (NASA's own asset server),MAVM-04__JPL-20220623-TECHf-0001-Mars Helicopter Testing Media Reel~orig.mp4,302697125,1e4ec3c1e3b712b0c90554220159b9e3eb325167cfe9878ec9e6acf77e01c6d4,1e4ec3c1e3b712b0c90554220159b9e3eb325167cfe9878ec9e6acf77e01c6d4,resources/corpus/raw/mat-av-min/clips/MAVM-04.mp4,6cfa5ee2d4444f58d8a47885f33b47eaeaa7955be5512fe2538e5d94e6cd97f2,14000008,10.01,1280,720,29.97003,300,True,aac,no,yes,no,no,yes,1,,0.8814,0,0,0,,PASS,yes,"cut 10.0s from 00:00:20; re-encoded H.264 CRF 12 preset slow yuv420p CFR 29.97003fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_nasa_public_domain,content::1e4ec3c1e3b712b0,engineered hardware handled by people in a controlled facility; media reel form implies hard cuts
MAVM-05,NASA Reveals Webb Telescope's First Images of Unseen Universe,NASA Headquarters,https://images-assets.nasa.gov/video/NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe/NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe~orig.mp4,https://images-assets.nasa.gov/video/NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe/NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe~orig.mp4,NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe,Public domain (US Government work),Public domain (US Government work),https://www.nasa.gov/nasa-brand-center/images-and-media/,,,yes - not subject to copyright in the US,2026-08-27T19:52:16Z,images-assets.nasa.gov (NASA's own asset server),MAVM-05__NHQ_2022_0712_VF_NASA Reveals Webb Telescope’s First Images of Unseen Universe~orig.mp4,355227573,076534035f6d91956beba48777b16f7e724a0397d7470b90b1a7c3ab8a503b5d,076534035f6d91956beba48777b16f7e724a0397d7470b90b1a7c3ab8a503b5d,resources/corpus/raw/mat-av-min/clips/MAVM-05.mp4,a2ccc6e7bd43878537556acede96a26cbf7697a85b67d1013b2e03a53004fb8a,18413238,10.01,1920,1080,59.94006,600,True,aac,real,no,yes,no,yes,1,,1.0262,20,0,0,,PASS,yes,"cut 10.0s from 00:02:15; re-encoded H.264 CRF 12 preset slow yuv420p CFR 59.94006fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_nasa_public_domain,content::076534035f6d9195,"Two presenters with a labelled data chart in frame. WINDOW REVISED AFTER MEASUREMENT: the first window (00:00:15) landed on the press slate that NASA prepends to this asset - a full-screen static text card. It measured 1 shot, a detected freeze run and no cut, which is unusable as a freeze-injection base because the clip is already frozen. The revised window measures 0 freezes, 0 black frames and continuous motion. The requirement was not weakened; the sample was moved to material that meets it."
MAVM-06,"Introducing the Artemis Team of Astronauts on This Week @NASA - December 11, 2020",NASA Headquarters,"https://images-assets.nasa.gov/video/Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020/Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020~orig.mp4","https://images-assets.nasa.gov/video/Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020/Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020~orig.mp4","Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020",Public domain (US Government work),Public domain (US Government work),https://www.nasa.gov/nasa-brand-center/images-and-media/,,,yes - not subject to copyright in the US,2026-08-27T19:36:17Z,images-assets.nasa.gov (NASA's own asset server),"MAVM-06__Introducing the Artemis Team of Astronauts on This Week @NASA – December 11, 2020~orig.mp4",43948599,bf46c8bfcf4b9707f50b2b9d7d69b994497e8d30aa32e8528a105cf2a4106761,bf46c8bfcf4b9707f50b2b9d7d69b994497e8d30aa32e8528a105cf2a4106761,resources/corpus/raw/mat-av-min/clips/MAVM-06.mp4,8d43281673eaaf74ad9dff6c759dcb3aeacaf229b3adfcec874f03f094441bd4,3500883,10.01,1280,720,29.97003,300,True,aac,real,no,yes,yes,yes,2,8.642,1.1903,12,0,0,,PASS,yes,"cut 10.0s from 00:00:10; re-encoded H.264 CRF 12 preset slow yuv420p CFR 29.97003fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_nasa_public_domain,content::bf46c8bfcf4b9707,news-magazine format: densest on-screen text and highest cut rate available in the public-domain pool
MAVM-07,Explore Mars Jezero Crater with NASA's Perseverance Rover,NASA / Jet Propulsion Laboratory,https://images-assets.nasa.gov/video/JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover/JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover~orig.mp4,https://images-assets.nasa.gov/video/JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover/JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover~orig.mp4,JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover,Public domain (US Government work),Public domain (US Government work),https://www.nasa.gov/nasa-brand-center/images-and-media/,,,yes - not subject to copyright in the US,2026-08-27T19:36:24Z,images-assets.nasa.gov (NASA's own asset server),MAVM-07__JPL-20211221-M2020f-0001-Explore_Mars_Jezero_Crater_with_NASAs_Perseverance_Rover~orig.mp4,455488160,8991d12a9f3d9afaf051d738edf28b8dd3f14e7ffef7a8be0b7850f4126a000a,8991d12a9f3d9afaf051d738edf28b8dd3f14e7ffef7a8be0b7850f4126a000a,resources/corpus/raw/mat-av-min/clips/MAVM-07.mp4,27604d14e1aa11970534540f11accc7f6034c052da82ed7b567a64098a88ba1d,33301353,10.01,1920,1080,59.94006,600,True,aac,no,no,no,no,yes,1,,4.2857,0,0,0,,PASS,yes,"cut 10.0s from 00:00:25; re-encoded H.264 CRF 12 preset slow yuv420p CFR 59.94006fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_nasa_public_domain,content::8991d12a9f3d9afa,strong directional camera motion; direction-reversal perturbation needs unambiguous motion direction
MAVM-08,Ingenuity Flight Update Media Reel,NASA / Jet Propulsion Laboratory,https://images-assets.nasa.gov/video/JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080/JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080~orig.mp4,https://images-assets.nasa.gov/video/JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080/JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080~orig.mp4,JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080,Public domain (US Government work),Public domain (US Government work),https://www.nasa.gov/nasa-brand-center/images-and-media/,,,yes - not subject to copyright in the US,2026-08-27T20:00:21Z,images-assets.nasa.gov (NASA's own asset server),MAVM-08__JPL-20230406-TECHf-0001-Ingenuity Flight Update Media Reel 1080~orig.mp4,535006305,fcc67ee0029d6c9f0256be49379eb222740c29fbe4d959c07cb2b06d843dfdd1,fcc67ee0029d6c9f0256be49379eb222740c29fbe4d959c07cb2b06d843dfdd1,resources/corpus/raw/mat-av-min/clips/MAVM-08.mp4,d840e022be899e24c2e2e2c58ec98370d02e7f03327c69252f741de05b166d2b,14626469,10.01,1920,1080,29.97003,300,True,aac,no,yes,no,yes,yes,2,7.007,0.3577,2,0,0,,PASS,yes,"cut 10.0s from 00:01:16; re-encoded H.264 CRF 12 preset slow yuv420p CFR 29.97003fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_nasa_public_domain,content::fcc67ee0029d6c9f,"Second distinct hardware subject, so product-swap has a same-domain plausible confusion rather than a shoe-versus-kettle non-test. WINDOW REVISED AFTER MEASUREMENT: the first window (00:00:20) fell in the stills-and-animation portion of this media reel and measured 8 pre-existing freeze runs plus a black interval. Eight freezes in a freeze-detection base would make injected and pre-existing freezes indistinguishable. A second window (00:04:15) measured clean but frame inspection showed it holds only monochrome navigation-camera terrain, with no hardware in frame - clean, but no longer the product-swap subject this entry exists to supply. The third window (00:01:16) measures 0 freezes, 0 black frames and one scene change, and frame inspection confirms the helicopter is visible on the surface. Recorded in full because a clip that passes the mechanical screen can still fail the requirement, and only inspection catches that."
MAVM-09,"What does the Wikimedia Foundation do - A WIKI MINUTE (16:9, no VO)",Wikimedia Foundation,https://commons.wikimedia.org/wiki/File:What_does_the_Wikimedia_Foundation_do_%E2%80%93_A_WIKI_MINUTE_16-9_%E2%80%93_NO_VO.webm,https://upload.wikimedia.org/wikipedia/commons/7/76/What_does_the_Wikimedia_Foundation_do_%E2%80%93_A_WIKI_MINUTE_16-9_%E2%80%93_NO_VO.webm,File:What does the Wikimedia Foundation do – A WIKI MINUTE 16-9 – NO VO.webm,CC BY-SA 4.0,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:What_does_the_Wikimedia_Foundation_do_%E2%80%93_A_WIKI_MINUTE_16-9_%E2%80%93_NO_VO.webm,,"trademarked; ShareAlike. Internal evaluation creates no distribution trigger, but any future public release of a derived frame or clip would carry CC BY-SA 4.0 onward. Recorded, not waived.
","yes - no non-commercial clause; ShareAlike attaches only on distribution of a derivative, which internal evaluation does not trigger",2026-08-27T19:53:04Z,upload.wikimedia.org; uploaded by the rights holder's own staff account (CKoerner (WMF)),MAVM-09__What_does_the_Wikimedia_Foundation_do_–_A_WIKI_MINUTE_16-9_–_NO_VO.webm,27543825,8842cf3afa7d1a3059f2e3b5ce99436609770124bb225998b23b769931099547,8842cf3afa7d1a3059f2e3b5ce99436609770124bb225998b23b769931099547,resources/corpus/raw/mat-av-min/clips/MAVM-09.mp4,1bd72735a2a386327b44b1078ffce819d0f5e23d7836d106c32a6a1451a42d3e,6639327,10.0,3840,2160,30.0,300,True,aac,rendered,no,yes,yes,yes,8,3.867;3.933;4.0;4.067;4.133;4.2;4.267,2.819,8,0,0,,PASS,yes,"cut 10.0s from 00:00:36; re-encoded H.264 CRF 12 preset slow yuv420p CFR 30.0fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_wikimedia_foundation_first_party,content::8842cf3afa7d1a30,"Motion-graphics explainer at 3840x2160 - the densest rendered on-screen text in the permissive pool, and text-mutation perturbation needs rendered text rather than photographed signage. WINDOW REVISED AFTER MEASUREMENT: the first window (00:00:08) held a title card long enough to register a freeze run and produced no cut. The revised window measures 0 freezes and several scene changes, so it serves both the text-mutation and the screen-direction perturbations."
MAVM-10,Wikimedia Foundation Funds Strategy,Wikimedia Foundation,https://commons.wikimedia.org/wiki/File:Wikimedia_Foundation_Funds_Strategy.webm,https://upload.wikimedia.org/wikipedia/commons/8/86/Wikimedia_Foundation_Funds_Strategy.webm,File:Wikimedia Foundation Funds Strategy.webm,CC BY-SA 4.0,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Wikimedia_Foundation_Funds_Strategy.webm,,ShareAlike - see MAVM-09.,"yes - no non-commercial clause; ShareAlike attaches only on distribution of a derivative, which internal evaluation does not trigger",2026-08-27T19:38:06Z,upload.wikimedia.org; uploaded by the rights holder's own staff account (HDothiduc (WMF)),MAVM-10__Wikimedia_Foundation_Funds_Strategy.webm,23867429,685ec6da2e233c7ade44e4b72437cf6b758ba202482e914637afdf2495ecddd6,685ec6da2e233c7ade44e4b72437cf6b758ba202482e914637afdf2495ecddd6,resources/corpus/raw/mat-av-min/clips/MAVM-10.mp4,2331c363a3886e365d947f5b87ecaf991c7e2ba759c10b1d5606dfa9521ee834,10482754,10.01,1920,1080,29.97003,300,True,aac,rendered,no,yes,yes,yes,6,3.403;3.47;6.106;6.74;7.741,3.5637,11,0,0,,PASS,yes,"cut 10.0s from 00:00:20; re-encoded H.264 CRF 12 preset slow yuv420p CFR 29.97003fps (MEASURED, not the container's declared rate), single-keyframe GOP (scenecut disabled) for frame-exact indexing; audio to AAC 320k 48kHz where present",lin_wikimedia_foundation_first_party,content::685ec6da2e233c7a,"institutional talking-head with titles; second independent WMF production, different shoot and different people from MAVM-09"
