pool_id,description,expected_location,outcome,bytes_accessible,item_count,sha256_captured,storage_class,valid_v1_use,invalid_use,notes
LEGACY-MF-SCORES,"64 human pass/fail judgements with free-text notes over 2 image models x 8 scenes x 4 takes","chawlavaibhav/media-factory git history, commit 57b2cca, spike/out/scores.json",recovered,yes,64,8d928dacc6ac7d99918a302abd4e844813692b6378fa842d6a2ce4cfc468bf73,C,"Historical failure-mode vocabulary; regression CANDIDATE list; evidence that face drift and text defects occurred in this project's own production attempts","Not current ground truth. Not a benchmark. Not a qualified instrument's output. Single unblinded rater, no protocol, no repeat.","Recovered tonight from git history because spike/.gitignore whitelisted out/scores.json against an out/* exclusion. Reconciles exactly with canon/findings/FINDINGS-11: 64 items, 10 failures, nano 7/32, seedream 3/32."
LEGACY-MF-COSTS,"129 per-call cost ledger lines across 11 model/step labels, total $35.28","chawlavaibhav/media-factory git history, 57b2cca, spike/out/costs.jsonl",recovered,yes,129,645efb90ea271c9e264ad0fd5e19c3c9310ad84cca4eaf5db40d85d5bb7c1560,C,"Historical cost-per-attempt reference; proof that a per-call cost ledger next to outputs is workable","Not a current price list. Prices are July-2026 fal.ai list values hardcoded in the script, not billed amounts, and the file's own comment says the ledger over-counts failed round-1 video attempts.","The single most useful legacy artifact for Cost per Accepted Outcome: it is a real prior example of cost recorded per attempt rather than per session."
LEGACY-MF-GENERATED-MEDIA,"The 64 scored generated images themselves (nano_*.png, seedream_*.png)","chawlavaibhav/media-factory spike/out/",metadata_only,no,64,,C,"Their scores and filenames are usable as a historical record and as a re-generation specification","Cannot be re-scored, re-annotated for multiple defects, or used as regression stimuli until the bytes are made accessible","spike/.gitignore excludes out/* and whitelists only .gitkeep, costs.jsonl and scores.json. The images were never committed. Searched: all branches and all reachable commits of media-factory. Not present."
LEGACY-MF-VIDEO,"Video outputs of the film/lipsync/scene experiments (veo3.1, wan-25, seedance, sadtalker, latentsync)","chawlavaibhav/media-factory spike/out/",metadata_only,no,~62,,C,"Cost lines and script parameters survive and describe what was made","No media available for temporal or lip-sync regression use","Same gitignore exclusion. 62 of the 129 cost lines are video/lip-sync steps, so the attempts are evidenced even though the outputs are not."
LEGACY-MF-REFS,"3 first-party brand mark assets: aight_logo.png (680x240), logo_0.png (204x33), logo_1.png (237x74)","chawlavaibhav/media-factory 57b2cca, spike/refs/",recovered,yes,3,"957bcc0ff8434a5bb58a67cb135a137a5162b8b6a5e8fea58dc4169f52c29987; 6ef54f44b3b8acb98dfd077d2f5d8bb89082f8547668dd4eadc4eba692619e9e; 452e2ff899c93fadf878f2df41669e2683872a97fb6507103eebd60314578d8b",B,"Candidate first-party logo/wordmark references for REQ-CAP-09 logo_wordmark_fidelity. Project-owned demo brand, so no third-party trademark exposure.","Not a substitute for the >=12 marks the product pack needs. Low resolution: two are under 240px wide, which limits fidelity testing.","Genuinely useful find: 3 of >=12 marks, from a source the project owns. Visual inspection confirms aight_logo.png is the project's own 'Aight' wordmark. Resolution is the limiting factor, not rights."
LEGACY-MF-GUDDU,"19 illustrated narrative storyboard frames used as image-to-video start frames","chawlavaibhav/media-factory 57b2cca, spike/guddu/",recovered,yes,19,see recovered-artifact-hashes.csv,C,"Historical record of an image-to-video experiment's inputs","NOT a person-reference pack. Visual inspection confirms these are AI-generated illustrated scenes, not photographs of identifiable people, so they cannot serve REQ-CAP-11 person_identity.","Important negative result: these were the most plausible candidate for a legacy person pack and they are not one. Their own generation provenance (which model produced them) is not recorded anywhere in the repository."
LEGACY-MF-CONTACT,"guddu/_contact.jpg contact sheet","chawlavaibhav/media-factory spike/guddu/_contact.jpg",unavailable,no,1,,C,"none","none","Explicitly excluded by spike/.gitignore line 7. Never committed. Concrete search performed across all branches and reachable commits."
LEGACY-MF-FONT,"refs/Fraunces.ttf, the display font pinned by the spike's brand definition","chawlavaibhav/media-factory spike/refs/Fraunces.ttf",unavailable_in_cloud_session,no,1,,B,"none","Any attempt to reproduce the spike's typography exactly","Excluded by spike/.gitignore. Same class of reproducibility hole as the EVAL-005 pinned font: a build that depends on an uncommitted font asset cannot be reconstructed from GitHub alone."
LEGACY-FINDING-01,"14 model-output samples: 12 video frames (6 wan + 6 comp) plus 2 headline stills (nano, seedream)",resources/corpus/finding-01-samples/ in this repository,recovered,yes,14,see recovered-artifact-hashes.csv,C,"Historical checker-calibration stimuli; the material behind FINDINGS-01","Not a population. FINDINGS-01 itself records only 4 independent sources behind the 14 samples: the 12 frames are highly correlated, being frames of 2 clips.","Already committed to this repository and verified present tonight. The correlation caveat is exactly the 'frames of one clip are one trial' rule that REQ-CAP-20 restates."
LEGACY-EVAL005-BUILD,"Built items of the 96-item Devanagari exactness battery",eval/battery/devanagari-exactness/build/ (git-ignored),unavailable_in_cloud_session,no,96,"fingerprinted by SHA-256 in the committed human-validation record",none,"The committed record fingerprints the build so a rebuild can be checked","Cannot be rebuilt in this session: the pinned font is an uncommitted proprietary system asset","Eval-owned, listed for completeness because it is the other known irreproducible-from-GitHub artifact. Resources took no action on it."
